symptom,disease,doctor
"increased thirst,frequent urination,unexplained weight loss,fatigue,blurred vision,cuts that are slow to heal",diabetes,Endocrinologist
"loose,watery stools",diarrhea,General Physician
disturbance in eating behavior that can lead to serious health problems,eating disorder,General Physician
seizures,epilepsy,Neurologist
elevated body temperature ,fever,General Physician
"nausea,vomiting,diarrhea,abdominal cramps",food poisoning,General Physician
"pain in the upper right abdomen,nausea,vomiting,fever",gallstones,General Physician
"sexually transmitted infection that can cause burning during urination,discharge from the penis or vagina,pain in the lower abdomen",gonorrhea,General Physician
"chest pain,shortness of breath,fatigue,dizziness,fainting",heart disease,Cardiologist
inflammation of the liver,hepatitis,General Physician
"sexually transmitted infection that can cause blisters on the genitals,mouth,other parts of the body",herpes,General Physician
"fever,cough,sore throat,runny or stuffy nose,muscle aches,headache,fatigue",influenza,General Physician
"abdominal pain,bloating,constipation,diarrhea",irritable bowel syndrome (ibs),Gastroenterologist
"pain in the lower back or side,nausea,vomiting,blood in the urine",kidney stones ,General Physician
"cough that does not go away,shortness of breath,chest pain,unexplained weight loss,fatigue,blood in the sputum",lung cancer,General Physician
"fever,chills,sweating,headache,muscle aches,fatigue,vomiting,diarrhea",malaria,General Physician
"fever,cough,runny nose,red eyes,sore throat,rash",measles,General Physician
"fever,headache,stiff neck,nausea,vomiting,sensitivity to light",meningitis,General Physician
"fever,sore throat,fatigue,swollen lymph nodes,rash",mononucleosis,General Physician
"fever,cough,shortness of breath,chest pain,fatigue",pneumonia,General Physician
"fever,headache,muscle aches,tingling at the bite site,difficulty swallowing,hydrophobia,aerophobia",rabies,General Physician
"fever,diarrhea,abdominal cramps,nausea,vomiting",salmonella,General Physician
painful rash that follows nerve path,shingles,Dermatologist
"cough that does not go away,fever,night sweats,weight loss,fatigue,chest pain",tuberculosis (tb),General Physician
"painful urination,burning,frequent urination,urgency to urinate,blood in the urine",urinary tract infection (uti),General Physician
"swollen,twisted veins,usually in the legs",varicose veins,General Physician
"raised,rough growths on the skin",warts ,Dermatologist
"itching,burning,discharge from the vaginor penis",yeast infection,General Physician
"pain,redness,inflammation in the eye",acanthamoebkeratitis,General Physician
"pain in the lower right abdomen,nausea,vomiting,fever",acute appendicitis,General Physician
decreased kidney function,acute kidney injury (aki) ,General Physician
"memory loss,confusion,difficulty thinking,changes in personality or behavior",alzheimer's disease,Neurologist
"fatigue,shortness of breath,pale skin,lightheadedness,dizziness",anemia,General Physician
"bulge in the wall of the aorta,the largest artery in the body",aortic aneurysm,General Physician
"fever,headache,stiff neck,nausea,vomiting,sensitivity to light",bacterial meningitis ,General Physician
"extreme mood swings,from manito depression",bipolar disorder,General Physician
"abnormal pap test results,abnormal vaginal bleeding,pain during sex",cervical cancer ,General Physician
"change in bowel habits,such as diarrhea,constipation,narrowing of the stool,blood in the stool,abdominal pain,unexplained weight loss",colorectal cancer,General Physician
"memory loss,confusion,difficulty thinking,changes in personality or behavior",dementia,General Physician
"difficulty getting,keeping an erection ",erectile dysfunction,General Physician
"widespread pain,fatigue,tenderness",fibromyalgi,General Physician
"increased pressure in the eye that can damage the optic nerve,lead to vision loss",glaucoma,General Physician
condition in which the heart cannot pump blood as well as it should,heart failure,Cardiologist
damage to the kidneys that can lead to kidney failure,kidney disease,Urologist
"condition that affects the lungs,can make it difficult to breathe",lung disease,Pulmonologist
"tremors,slow movement,stiffness,difficulty with balance,coordination ",parkinson's disease,Neurologist
"pain in the upper abdomen,indigestion,nausea,vomiting",peptic ulcer disease ,General Physician
"pain,numbness,tingling in the arms or legs",peripheral artery disease,General Physician
"fever,cough,shortness of breath,chest pain,fatigue",pneumonia,General Physician
"difficulty urinating,blood in the urine,pain in the back or hips,erectile dysfunction",prostate cancer,General Physician
"pain,swelling,stiffness in the joints",rheumatoid arthritis,General Physician
"sudden weakness,numbness on one side of the body,difficulty speaking,confusion,trouble seeing in one eye,severe headache",stroke,General Physician
"pain in the upper abdomen,indigestion,nausea,vomiting,weight loss",stomach cancer,General Physician
"lump in the neck,hoarseness,fatigue,weight loss,unexplained heat intolerance,sensitivity to cold",thyroid cancer,Oncologist
"diarrhea,bloody stool,abdominal pain,weight loss",ulcerative colitis,Gastroenterologist
"raised,rough growths on the skin",warts,Dermatologist
"itchy,red,inflamed skin",atopic dermatitis,General Physician
"diarrhea,bloating,weight loss,fatigue,abdominal pain",celiac disease,General Physician
"fatigue,shortness of breath,swelling,high blood pressure,changes in urination",chronic kidney disease,General Physician
"diarrhea,bloody stool,abdominal pain,weight loss",crohn's disease,Gastroenterologist
seizures,epilepsy ,Neurologist
"widespread pain,fatigue,tenderness",fibromyalgia,General Physician
"hyperthyroidism,which is an overactive thyroid",graves' disease,Endocrinologist
"hypothyroidism,which is an underactive thyroid ",hashimoto's thyroiditis ,Endocrinologist
chronic autoimmune disease that can affect any part of the body,lupus,General Physician
An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Drug Reaction,General Physician
An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Malaria,General Physician
"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",Allergy,General Physician
"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",Hypothyroidism,Endocrinologist
"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",Psoriasis,General Physician
"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",GERD,Gastroenterologist
"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",Chronic cholestasis,Gastroenterologist
Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,hepatitis A,General Physician
"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",Osteoarthristis,General Physician
Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,(vertigo) Paroymsal  Positional Vertigo,General Physician
 Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,Hypoglycemia,Endocrinologist
"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",Acne,Dermatologist
"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",Diabetes,Endocrinologist
"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",Impetigo,General Physician
"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",Hypertension,General Physician
"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",Peptic ulcer diseae,General Physician
"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .",Dimorphic hemorrhoids(piles),General Physician
"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",Common Cold,General Physician
"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",Chicken pox,General Physician
"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",Cervical spondylosis,General Physician
"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",Hyperthyroidism,Endocrinologist
"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",Urinary tract infection,General Physician
"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",Varicose veins,General Physician
"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",AIDS,General Physician
"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",Paralysis (brain hemorrhage),General Physician
"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",Typhoid,General Physician
"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",Hepatitis B,General Physician
"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",Fungal infection,General Physician
"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",Hepatitis C,General Physician
"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",Migraine,Neurologist
"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",Bronchial Asthma,Pulmonologist
"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",Alcoholic hepatitis,Gastroenterologist
"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",Jaundice,General Physician
A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,Hepatitis E,General Physician
"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",Dengue,General Physician
"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",Hepatitis D,General Physician
"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",Heart attack,General Physician
"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",Pneumonia,General Physician
"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",Arthritis,General Physician
"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",Gastroenteritis,General Physician
"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",Tuberculosis,General Physician
"itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches",Fungal infection,General Physician
" skin_rash,  nodal_skin_eruptions,  dischromic _patches",Fungal infection,General Physician
"itching,  nodal_skin_eruptions,  dischromic _patches",Fungal infection,General Physician
"itching,  skin_rash,  dischromic _patches",Fungal infection,General Physician
"itching,  skin_rash,  nodal_skin_eruptions",Fungal infection,General Physician
" skin_rash,  nodal_skin_eruptions,  dischromic _patches",Fungal infection,General Physician
"itching,  nodal_skin_eruptions,  dischromic _patches",Fungal infection,General Physician
"itching,  skin_rash,  dischromic _patches",Fungal infection,General Physician
"itching,  skin_rash,  nodal_skin_eruptions",Fungal infection,General Physician
"itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches",Fungal infection,General Physician
" continuous_sneezing,  shivering,  chills,  watering_from_eyes",Allergy,General Physician
" shivering,  chills,  watering_from_eyes",Allergy,General Physician
" continuous_sneezing,  chills,  watering_from_eyes",Allergy,General Physician
" continuous_sneezing,  shivering,  watering_from_eyes",Allergy,General Physician
" continuous_sneezing,  shivering,  chills",Allergy,General Physician
" shivering,  chills,  watering_from_eyes",Allergy,General Physician
" continuous_sneezing,  chills,  watering_from_eyes",Allergy,General Physician
" continuous_sneezing,  shivering,  watering_from_eyes",Allergy,General Physician
" continuous_sneezing,  shivering,  chills",Allergy,General Physician
" continuous_sneezing,  shivering,  chills,  watering_from_eyes",Allergy,General Physician
" stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain",GERD,Gastroenterologist
" stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain",GERD,Gastroenterologist
" stomach_pain,  acidity,  vomiting,  cough,  chest_pain",GERD,Gastroenterologist
" stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain",GERD,Gastroenterologist
" stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  chest_pain",GERD,Gastroenterologist
" stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough",GERD,Gastroenterologist
" acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain",GERD,Gastroenterologist
" stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain",GERD,Gastroenterologist
" stomach_pain,  acidity,  vomiting,  cough,  chest_pain",GERD,Gastroenterologist
" stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain",GERD,Gastroenterologist
"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",Chronic cholestasis,Gastroenterologist
" vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",Chronic cholestasis,Gastroenterologist
"itching,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",Chronic cholestasis,Gastroenterologist
"itching,  vomiting,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",Chronic cholestasis,Gastroenterologist
"itching,  vomiting,  yellowish_skin,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",Chronic cholestasis,Gastroenterologist
"itching,  vomiting,  yellowish_skin,  nausea,  abdominal_pain,  yellowing_of_eyes",Chronic cholestasis,Gastroenterologist
"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  yellowing_of_eyes",Chronic cholestasis,Gastroenterologist
"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain",Chronic cholestasis,Gastroenterologist
"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",Chronic cholestasis,Gastroenterologist
"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",Chronic cholestasis,Gastroenterologist
"itching,  skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination",Drug Reaction,General Physician
"itching,  stomach_pain,  burning_micturition,  spotting_ urination",Drug Reaction,General Physician
"itching,  skin_rash,  burning_micturition,  spotting_ urination",Drug Reaction,General Physician
"itching,  skin_rash,  stomach_pain,  spotting_ urination",Drug Reaction,General Physician
"itching,  skin_rash,  stomach_pain,  burning_micturition",Drug Reaction,General Physician
" skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination",Drug Reaction,General Physician
"itching,  stomach_pain,  burning_micturition,  spotting_ urination",Drug Reaction,General Physician
"itching,  skin_rash,  burning_micturition,  spotting_ urination",Drug Reaction,General Physician
"itching,  skin_rash,  stomach_pain,  spotting_ urination",Drug Reaction,General Physician
"itching,  skin_rash,  stomach_pain,  burning_micturition",Drug Reaction,General Physician
" vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching",Peptic ulcer diseae,General Physician
" vomiting,  indigestion,  abdominal_pain,  passage_of_gases,  internal_itching",Peptic ulcer diseae,General Physician
" indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching",Peptic ulcer diseae,General Physician
" vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching",Peptic ulcer diseae,General Physician
" vomiting,  indigestion,  abdominal_pain,  passage_of_gases,  internal_itching",Peptic ulcer diseae,General Physician
" vomiting,  indigestion,  loss_of_appetite,  passage_of_gases,  internal_itching",Peptic ulcer diseae,General Physician
" vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  internal_itching",Peptic ulcer diseae,General Physician
" vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases",Peptic ulcer diseae,General Physician
" vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching",Peptic ulcer diseae,General Physician
" vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching",Peptic ulcer diseae,General Physician
" muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts",AIDS,General Physician
" patches_in_throat,  high_fever,  extra_marital_contacts",AIDS,General Physician
" muscle_wasting,  high_fever,  extra_marital_contacts",AIDS,General Physician
" muscle_wasting,  patches_in_throat,  extra_marital_contacts",AIDS,General Physician
" muscle_wasting,  patches_in_throat,  high_fever",AIDS,General Physician
" muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts",AIDS,General Physician
" muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts",AIDS,General Physician
" patches_in_throat,  high_fever,  extra_marital_contacts",AIDS,General Physician
" muscle_wasting,  high_fever,  extra_marital_contacts",AIDS,General Physician
" muscle_wasting,  patches_in_throat,  high_fever",AIDS,General Physician
" fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",Diabetes ,Endocrinologist
" fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",Diabetes ,Endocrinologist
" weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",Diabetes ,Endocrinologist
" fatigue,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",Diabetes ,Endocrinologist
" fatigue,  weight_loss,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",Diabetes ,Endocrinologist
" fatigue,  weight_loss,  restlessness,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",Diabetes ,Endocrinologist
" fatigue,  weight_loss,  restlessness,  lethargy,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",Diabetes ,Endocrinologist
" fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  obesity,  excessive_hunger,  increased_appetite,  polyuria",Diabetes ,Endocrinologist
" fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  excessive_hunger,  increased_appetite,  polyuria",Diabetes ,Endocrinologist
" fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  increased_appetite,  polyuria",Diabetes ,Endocrinologist
" vomiting,  sunken_eyes,  dehydration,  diarrhoea",Gastroenteritis,General Physician
" vomiting,  sunken_eyes,  dehydration,  diarrhoea",Gastroenteritis,General Physician
" sunken_eyes,  dehydration,  diarrhoea",Gastroenteritis,General Physician
" vomiting,  dehydration,  diarrhoea",Gastroenteritis,General Physician
" vomiting,  sunken_eyes,  diarrhoea",Gastroenteritis,General Physician
" vomiting,  sunken_eyes,  dehydration",Gastroenteritis,General Physician
" vomiting,  sunken_eyes,  dehydration,  diarrhoea",Gastroenteritis,General Physician
" sunken_eyes,  dehydration,  diarrhoea",Gastroenteritis,General Physician
" vomiting,  dehydration,  diarrhoea",Gastroenteritis,General Physician
" vomiting,  sunken_eyes,  diarrhoea",Gastroenteritis,General Physician
" fatigue,  cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum",Bronchial Asthma,Pulmonologist
" cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum",Bronchial Asthma,Pulmonologist
" fatigue,  high_fever,  breathlessness,  family_history,  mucoid_sputum",Bronchial Asthma,Pulmonologist
" fatigue,  cough,  breathlessness,  family_history,  mucoid_sputum",Bronchial Asthma,Pulmonologist
" fatigue,  cough,  high_fever,  family_history,  mucoid_sputum",Bronchial Asthma,Pulmonologist
" fatigue,  cough,  high_fever,  breathlessness,  mucoid_sputum",Bronchial Asthma,Pulmonologist
" fatigue,  cough,  high_fever,  breathlessness,  family_history",Bronchial Asthma,Pulmonologist
" fatigue,  cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum",Bronchial Asthma,Pulmonologist
" cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum",Bronchial Asthma,Pulmonologist
" fatigue,  high_fever,  breathlessness,  family_history,  mucoid_sputum",Bronchial Asthma,Pulmonologist
" headache,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration",Hypertension ,General Physician
" chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration",Hypertension ,General Physician
" headache,  dizziness,  loss_of_balance,  lack_of_concentration",Hypertension ,General Physician
" headache,  chest_pain,  loss_of_balance,  lack_of_concentration",Hypertension ,General Physician
" headache,  chest_pain,  dizziness,  lack_of_concentration",Hypertension ,General Physician
" headache,  chest_pain,  dizziness,  loss_of_balance",Hypertension ,General Physician
" headache,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration",Hypertension ,General Physician
" chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration",Hypertension ,General Physician
" headache,  dizziness,  loss_of_balance,  lack_of_concentration",Hypertension ,General Physician
" headache,  chest_pain,  loss_of_balance,  lack_of_concentration",Hypertension ,General Physician
" acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances",Migraine,Neurologist
" indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances",Migraine,Neurologist
" acidity,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances",Migraine,Neurologist
" acidity,  indigestion,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances",Migraine,Neurologist
" acidity,  indigestion,  headache,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances",Migraine,Neurologist
" acidity,  indigestion,  headache,  blurred_and_distorted_vision,  stiff_neck,  depression,  irritability,  visual_disturbances",Migraine,Neurologist
" acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  depression,  irritability,  visual_disturbances",Migraine,Neurologist
