disease,symptom
glaucoma,"increased pressure in the eye that can damage the optic nerve,lead to vision loss"
heart failure,condition in which the heart cannot pump blood as well as it should
kidney disease,damage to the kidneys that can lead to kidney failure
lung disease,"condition that affects the lungs,can make it difficult to breathe"
parkinson's disease,"tremors,slow movement,stiffness,difficulty with balance,coordination "
peptic ulcer disease ,"pain in the upper abdomen,indigestion,nausea,vomiting"
peripheral artery disease,"pain,numbness,tingling in the arms or legs"
pneumonia,"fever,cough,shortness of breath,chest pain,fatigue"
prostate cancer,"difficulty urinating,blood in the urine,pain in the back or hips,erectile dysfunction"
rheumatoid arthritis,"pain,swelling,stiffness in the joints"
stroke,"sudden weakness,numbness on one side of the body,difficulty speaking,confusion,trouble seeing in one eye,severe headache"
stomach cancer,"pain in the upper abdomen,indigestion,nausea,vomiting,weight loss"
thyroid cancer,"lump in the neck,hoarseness,fatigue,weight loss,unexplained heat intolerance,sensitivity to cold"
ulcerative colitis,"diarrhea,bloody stool,abdominal pain,weight loss"
warts,"raised,rough growths on the skin"
atopic dermatitis,"itchy,red,inflamed skin"
celiac disease,"diarrhea,bloating,weight loss,fatigue,abdominal pain"
chronic kidney disease,"fatigue,shortness of breath,swelling,high blood pressure,changes in urination"
crohn's disease,"diarrhea,bloody stool,abdominal pain,weight loss"
epilepsy ,seizures
fibromyalgia,"widespread pain,fatigue,tenderness"
graves' disease,"hyperthyroidism,which is an overactive thyroid"
hashimoto's thyroiditis ,"hypothyroidism,which is an underactive thyroid "
lupus,chronic autoimmune disease that can affect any part of the body
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
Hypoglycemia, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
Diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."
Peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
Dimorphic hemorrhoids(piles),"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease ."
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
Urinary tract infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body."
Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe."
Hepatitis B,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities."
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it"
Hepatitis E,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches"
Fungal infection," skin_rash,  nodal_skin_eruptions,  dischromic _patches"
Fungal infection,"itching,  nodal_skin_eruptions,  dischromic _patches"
Fungal infection,"itching,  skin_rash,  dischromic _patches"
Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions"
Fungal infection," skin_rash,  nodal_skin_eruptions,  dischromic _patches"
Fungal infection,"itching,  nodal_skin_eruptions,  dischromic _patches"
Fungal infection,"itching,  skin_rash,  dischromic _patches"
Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions"
Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches"
Allergy," continuous_sneezing,  shivering,  chills,  watering_from_eyes"
Allergy," shivering,  chills,  watering_from_eyes"
Allergy," continuous_sneezing,  chills,  watering_from_eyes"
Allergy," continuous_sneezing,  shivering,  watering_from_eyes"
Allergy," continuous_sneezing,  shivering,  chills"
Allergy," shivering,  chills,  watering_from_eyes"
Allergy," continuous_sneezing,  chills,  watering_from_eyes"
Allergy," continuous_sneezing,  shivering,  watering_from_eyes"
Allergy," continuous_sneezing,  shivering,  chills"
Allergy," continuous_sneezing,  shivering,  chills,  watering_from_eyes"
GERD," stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain"
GERD," stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain"
GERD," stomach_pain,  acidity,  vomiting,  cough,  chest_pain"
GERD," stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain"
GERD," stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  chest_pain"
GERD," stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough"
GERD," acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain"
GERD," stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain"
GERD," stomach_pain,  acidity,  vomiting,  cough,  chest_pain"
GERD," stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain"
Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes"
Chronic cholestasis," vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes"
Chronic cholestasis,"itching,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes"
Chronic cholestasis,"itching,  vomiting,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes"
Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes"
Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  nausea,  abdominal_pain,  yellowing_of_eyes"
Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  yellowing_of_eyes"
Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain"
Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes"
Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes"
Drug Reaction,"itching,  skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination"
Drug Reaction,"itching,  stomach_pain,  burning_micturition,  spotting_ urination"
Drug Reaction,"itching,  skin_rash,  burning_micturition,  spotting_ urination"
Drug Reaction,"itching,  skin_rash,  stomach_pain,  spotting_ urination"
Drug Reaction,"itching,  skin_rash,  stomach_pain,  burning_micturition"
Drug Reaction," skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination"
Drug Reaction,"itching,  stomach_pain,  burning_micturition,  spotting_ urination"
Drug Reaction,"itching,  skin_rash,  burning_micturition,  spotting_ urination"
Drug Reaction,"itching,  skin_rash,  stomach_pain,  spotting_ urination"
Drug Reaction,"itching,  skin_rash,  stomach_pain,  burning_micturition"
Peptic ulcer diseae," vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching"
Peptic ulcer diseae," vomiting,  indigestion,  abdominal_pain,  passage_of_gases,  internal_itching"
Peptic ulcer diseae," indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching"
Peptic ulcer diseae," vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching"
Peptic ulcer diseae," vomiting,  indigestion,  abdominal_pain,  passage_of_gases,  internal_itching"
Peptic ulcer diseae," vomiting,  indigestion,  loss_of_appetite,  passage_of_gases,  internal_itching"
Peptic ulcer diseae," vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  internal_itching"
Peptic ulcer diseae," vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases"
Peptic ulcer diseae," vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching"
Peptic ulcer diseae," vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching"
AIDS," muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts"
AIDS," patches_in_throat,  high_fever,  extra_marital_contacts"
AIDS," muscle_wasting,  high_fever,  extra_marital_contacts"
AIDS," muscle_wasting,  patches_in_throat,  extra_marital_contacts"
AIDS," muscle_wasting,  patches_in_throat,  high_fever"
AIDS," muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts"
AIDS," muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts"
AIDS," patches_in_throat,  high_fever,  extra_marital_contacts"
AIDS," muscle_wasting,  high_fever,  extra_marital_contacts"
AIDS," muscle_wasting,  patches_in_throat,  high_fever"
Diabetes ," fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria"
Diabetes ," fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria"
Diabetes ," weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria"
Diabetes ," fatigue,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria"
Diabetes ," fatigue,  weight_loss,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria"
Diabetes ," fatigue,  weight_loss,  restlessness,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria"
Diabetes ," fatigue,  weight_loss,  restlessness,  lethargy,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria"
Diabetes ," fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  obesity,  excessive_hunger,  increased_appetite,  polyuria"
Diabetes ," fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  excessive_hunger,  increased_appetite,  polyuria"
Diabetes ," fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  increased_appetite,  polyuria"
Gastroenteritis," vomiting,  sunken_eyes,  dehydration,  diarrhoea"
Gastroenteritis," vomiting,  sunken_eyes,  dehydration,  diarrhoea"
Gastroenteritis," sunken_eyes,  dehydration,  diarrhoea"
Gastroenteritis," vomiting,  dehydration,  diarrhoea"
Gastroenteritis," vomiting,  sunken_eyes,  diarrhoea"
Gastroenteritis," vomiting,  sunken_eyes,  dehydration"
Gastroenteritis," vomiting,  sunken_eyes,  dehydration,  diarrhoea"
Gastroenteritis," sunken_eyes,  dehydration,  diarrhoea"
Gastroenteritis," vomiting,  dehydration,  diarrhoea"
Gastroenteritis," vomiting,  sunken_eyes,  diarrhoea"
Bronchial Asthma," fatigue,  cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum"
Bronchial Asthma," cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum"
Bronchial Asthma," fatigue,  high_fever,  breathlessness,  family_history,  mucoid_sputum"
Bronchial Asthma," fatigue,  cough,  breathlessness,  family_history,  mucoid_sputum"
Bronchial Asthma," fatigue,  cough,  high_fever,  family_history,  mucoid_sputum"
Bronchial Asthma," fatigue,  cough,  high_fever,  breathlessness,  mucoid_sputum"
Bronchial Asthma," fatigue,  cough,  high_fever,  breathlessness,  family_history"
Bronchial Asthma," fatigue,  cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum"
Bronchial Asthma," cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum"
Bronchial Asthma," fatigue,  high_fever,  breathlessness,  family_history,  mucoid_sputum"
Hypertension ," headache,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration"
Hypertension ," chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration"
Hypertension ," headache,  dizziness,  loss_of_balance,  lack_of_concentration"
Hypertension ," headache,  chest_pain,  loss_of_balance,  lack_of_concentration"
Hypertension ," headache,  chest_pain,  dizziness,  lack_of_concentration"
Hypertension ," headache,  chest_pain,  dizziness,  loss_of_balance"
Hypertension ," headache,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration"
Hypertension ," chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration"
Hypertension ," headache,  dizziness,  loss_of_balance,  lack_of_concentration"
Hypertension ," headache,  chest_pain,  loss_of_balance,  lack_of_concentration"
Migraine," acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances"
Migraine," indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances"
Migraine," acidity,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances"
Migraine," acidity,  indigestion,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances"
Migraine," acidity,  indigestion,  headache,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances"
Migraine," acidity,  indigestion,  headache,  blurred_and_distorted_vision,  stiff_neck,  depression,  irritability,  visual_disturbances"
Migraine," acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  depression,  irritability,  visual_disturbances"
Migraine," acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  irritability,  visual_disturbances"
Migraine," acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  visual_disturbances"
Migraine," acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability"
Cervical spondylosis," back_pain,  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance"
Cervical spondylosis," back_pain,  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance"
Cervical spondylosis," weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance"
Cervical spondylosis," back_pain,  neck_pain,  dizziness,  loss_of_balance"
Cervical spondylosis," back_pain,  weakness_in_limbs,  dizziness,  loss_of_balance"
Cervical spondylosis," back_pain,  weakness_in_limbs,  neck_pain,  loss_of_balance"
Cervical spondylosis," back_pain,  weakness_in_limbs,  neck_pain,  dizziness"
Cervical spondylosis," back_pain,  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance"
Cervical spondylosis," weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance"
Cervical spondylosis," back_pain,  neck_pain,  dizziness,  loss_of_balance"
Paralysis (brain hemorrhage)," vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium"
Paralysis (brain hemorrhage)," vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium"
Paralysis (brain hemorrhage)," headache,  weakness_of_one_body_side,  altered_sensorium"
Paralysis (brain hemorrhage)," vomiting,  weakness_of_one_body_side,  altered_sensorium"
Paralysis (brain hemorrhage)," vomiting,  headache,  altered_sensorium"
Paralysis (brain hemorrhage)," vomiting,  headache,  weakness_of_one_body_side"
Paralysis (brain hemorrhage)," vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium"
Paralysis (brain hemorrhage)," headache,  weakness_of_one_body_side,  altered_sensorium"
Paralysis (brain hemorrhage)," vomiting,  weakness_of_one_body_side,  altered_sensorium"
Paralysis (brain hemorrhage)," vomiting,  headache,  altered_sensorium"
Jaundice,"itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain"
Jaundice,"itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain"
Jaundice," vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain"
Jaundice,"itching,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain"
Jaundice,"itching,  vomiting,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain"
Jaundice,"itching,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain"
